speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.208333,0.621781,0.128000,0.141176,0.108667,1
0.225000,0.416289,0.135700,0.141176,0.022667,1
0.383333,0.296413,0.184100,0.164706,0.023333,3
0.000000,0.768484,0.080100,0.141176,0.012333,1
0.158333,0.246944,0.144000,0.184314,0.044000,3
0.000000,0.325503,0.069500,0.133333,0.001667,1
0.000000,1.778440,0.000000,0.176471,0.001000,2
0.000000,0.480585,0.074400,0.137255,0.005333,1
0.025000,0.221616,0.145700,0.219608,0.522000,3
0.191667,0.222553,0.166800,0.200000,0.202000,3
0.000000,0.326952,0.075000,0.137255,0.001333,1
0.066667,0.430239,0.089200,0.180392,0.654667,1
0.091667,0.534458,0.176300,0.203922,0.169333,3
0.508333,0.366711,0.240900,0.203922,0.000667,3
0.275000,0.287074,0.172200,0.149020,0.043333,1
0.716667,0.185481,0.187325,0.207843,0.001333,3
0.133333,0.784631,0.076900,0.141176,0.112000,1
0.125000,0.420355,0.107100,0.149020,0.009667,1
0.000000,1.784998,0.000000,0.176471,0.001667,2
0.000000,0.363362,0.069400,0.133333,0.085667,1
0.000000,1.778443,0.000000,0.176471,0.000667,2
0.000000,0.638895,0.075800,0.137255,0.003000,1
0.000000,1.777617,0.000000,0.176471,0.000667,2
0.000000,0.414439,0.075000,0.137255,0.004000,1
0.000000,1.694107,0.000000,0.176471,0.004000,2
0.083333,0.329295,0.055775,0.156863,0.084000,1
0.016667,0.478261,0.092100,0.137255,0.030667,1
0.000000,0.487966,0.075200,0.137255,0.007333,1
0.258333,0.407993,0.228000,0.200000,0.005333,3
0.000000,0.544490,0.068900,0.133333,0.012667,1
0.000000,1.781668,0.000000,0.176471,0.001667,2
0.000000,0.629925,0.069300,0.133333,0.002000,1
0.000000,1.534231,0.000000,0.176471,1.557000,2
0.000000,0.451710,0.088800,0.156863,0.017333,1
0.291667,0.252940,0.257900,0.160784,0.216667,1
0.000000,0.493660,0.073700,0.137255,0.003000,1
0.000000,0.770036,0.075000,0.137255,0.005000,1
0.000000,1.852372,0.081550,0.164706,1.333333,2
0.116667,0.416400,0.107000,0.149020,0.064333,1
0.233333,0.287996,0.211700,0.223529,0.172000,3
0.200000,0.429153,0.129300,0.223529,0.063000,3
0.000000,1.778967,0.000000,0.176471,0.001333,2
0.075000,0.520202,0.079700,0.164706,0.006333,1
0.000000,0.338355,0.071000,0.133333,0.001667,1
0.000000,1.792990,0.000000,0.152941,0.001667,2
0.141667,0.410003,0.161900,0.215686,0.060000,3
0.025000,0.296222,0.075200,0.137255,0.001000,1
0.225000,0.361891,0.201100,0.152941,0.124667,1
0.000000,0.478762,0.106500,0.141176,0.086667,1
0.133333,0.610001,0.247500,0.180392,0.042000,3
0.000000,0.638259,0.081700,0.164706,0.739667,1
0.175000,0.698908,0.160400,0.176471,0.113667,3
0.025000,0.664422,0.127000,0.141176,0.052333,1
0.300000,0.339753,0.220000,0.243137,0.973333,3
0.000000,0.580847,0.000000,0.176471,0.191667,1
0.000000,0.402823,0.070400,0.133333,0.001667,1
0.308333,0.451775,0.190700,0.317647,0.033333,3
0.000000,0.122471,0.097250,0.172549,0.015667,1
0.000000,0.494252,0.112300,0.152941,0.074000,1
0.000000,1.791793,0.000000,0.176471,0.000000,2
0.000000,0.413764,0.139100,0.180392,0.020667,1
0.000000,0.265862,0.075000,0.137255,0.001000,1
0.033333,0.304742,0.076300,0.137255,0.001000,1
0.483333,0.170499,0.247025,0.403922,0.102667,3
0.341667,0.347610,0.153900,0.141176,0.007667,1
0.200000,0.369658,0.124400,0.141176,0.085000,1
0.016667,0.142413,0.130300,0.160784,0.047000,1
0.425000,0.241821,0.203000,0.243137,0.089333,3
0.225000,0.176867,0.143900,0.160784,0.169333,1
0.316667,0.395591,0.153700,0.180392,0.031333,3
0.475000,0.277045,0.192300,0.152941,0.089000,1
0.275000,0.182828,0.077300,0.137255,0.171667,1
0.166667,0.995436,0.155600,0.215686,0.636000,3
0.433333,0.388917,0.236800,0.192157,0.127000,3
0.000000,1.786954,0.000000,0.176471,0.000000,2
0.000000,0.557401,0.074600,0.137255,0.000000,1
0.000000,1.657045,0.075700,0.137255,0.005000,2
0.175000,0.344832,0.077800,0.137255,0.020000,1
0.000000,1.775896,0.070500,0.133333,0.003333,2
0.166667,0.003847,0.146400,0.235294,0.034000,3
0.000000,1.947966,0.000000,0.176471,0.223333,2
0.291667,0.366496,0.183500,0.223529,0.568000,3
0.000000,0.407087,0.069400,0.133333,0.003333,1
0.000000,0.531715,0.077100,0.137255,0.024000,1
0.000000,1.781427,0.000000,0.176471,0.002667,2
0.000000,0.262973,0.069600,0.133333,0.006667,1
0.000000,0.482336,0.074400,0.137255,0.001333,1
0.000000,1.778309,0.000000,0.176471,0.001000,2
0.000000,1.778118,0.070300,0.133333,0.001333,2
0.000000,0.392928,0.075300,0.137255,0.007333,1
0.000000,0.384720,0.070600,0.133333,0.015333,1
0.000000,0.504020,0.070400,0.133333,0.009667,1
0.016667,0.589994,0.076500,0.137255,0.078000,1
